month,region,vehicles_registered
2013-01-01,Київ,792
2013-02-01,Київ,1321
2013-03-01,Київ,2232
2013-04-01,Київ,3330
2013-05-01,Київ,2072
2013-06-01,Київ,2266
2013-07-01,Київ,2641
2013-08-01,Київ,3679
2013-09-01,Київ,1710
2013-10-01,Київ,1954
2013-11-01,Київ,2135
2013-12-01,Київ,2168
2014-01-01,Київ,1506
2014-02-01,Київ,1908
2014-03-01,Київ,1373
2014-04-01,Київ,903
2014-05-01,Київ,1631
2014-06-01,Київ,2717
2014-07-01,Київ,2860
2014-08-01,Київ,2475
2014-09-01,Київ,2292
2014-10-01,Київ,2316
2014-11-01,Київ,2347
2014-12-01,Київ,2569
2015-01-01,Київ,1061
2015-02-01,Київ,1128
2015-03-01,Київ,874
2015-04-01,Київ,1515
2015-05-01,Київ,1514
2015-06-01,Київ,1649
2015-07-01,Київ,2195
2015-08-01,Київ,1449
2015-09-01,Київ,1799
2015-10-01,Київ,2038
2015-11-01,Київ,1881
2015-12-01,Київ,2185
2016-01-01,Київ,1269
2016-02-01,Київ,1628
2016-03-01,Київ,2197
2016-04-01,Київ,2540
2016-05-01,Київ,1999
2016-06-01,Київ,2217
2016-07-01,Київ,2534
2016-08-01,Київ,2457
2016-09-01,Київ,2629
2016-10-01,Київ,2602
2016-11-01,Київ,3215
2016-12-01,Київ,3654
2017-01-01,Київ,2153
2017-02-01,Київ,2422
2017-03-01,Київ,3351
2017-04-01,Київ,3237
2017-05-01,Київ,3353
2017-06-01,Київ,3301
2017-07-01,Київ,3446
2017-08-01,Київ,3399
2017-09-01,Київ,3930
2017-10-01,Київ,3562
2017-11-01,Київ,3659
2017-12-01,Київ,4804
2018-01-01,Київ,3221
2018-02-01,Київ,3312
2018-03-01,Київ,4072
2018-04-01,Київ,4128
2018-05-01,Київ,3958
2018-06-01,Київ,4258
2018-07-01,Київ,3988
2018-08-01,Київ,4163
2018-09-01,Київ,1800
2018-10-01,Київ,2150
2018-11-01,Київ,2123
2018-12-01,Київ,2708
2019-01-01,Київ,4174
2019-02-01,Київ,7092
2019-03-01,Київ,4883
2019-04-01,Київ,3090
2019-05-01,Київ,3163
2013-01-01,Львівська,1000
2013-02-01,Львівська,1267
2013-03-01,Львівська,1281
2013-04-01,Львівська,1636
2013-05-01,Львівська,1009
2013-06-01,Львівська,1482
2013-07-01,Львівська,1478
2013-08-01,Львівська,2732
2013-09-01,Львівська,588
2013-10-01,Львівська,263
2013-11-01,Львівська,345
2013-12-01,Львівська,508
2014-01-01,Львівська,165
2014-02-01,Львівська,244
2014-03-01,Львівська,207
2014-04-01,Львівська,198
2014-05-01,Львівська,497
2014-06-01,Львівська,1296
2014-07-01,Львівська,1853
2014-08-01,Львівська,1576
2014-09-01,Львівська,1539
2014-10-01,Львівська,1574
2014-11-01,Львівська,1722
2014-12-01,Львівська,2214
2015-01-01,Львівська,566
2015-02-01,Львівська,764
2015-03-01,Львівська,724
2015-04-01,Львівська,748
2015-05-01,Львівська,804
2015-06-01,Львівська,928
2015-07-01,Львівська,1106
2015-08-01,Львівська,766
2015-09-01,Львівська,1129
2015-10-01,Львівська,1238
2015-11-01,Львівська,859
2015-12-01,Львівська,996
2016-01-01,Львівська,469
2016-02-01,Львівська,727
2016-03-01,Львівська,819
2016-04-01,Львівська,801
2016-05-01,Львівська,417
2016-06-01,Львівська,593
2016-07-01,Львівська,613
2016-08-01,Львівська,801
2016-09-01,Львівська,1130
2016-10-01,Львівська,1319
2016-11-01,Львівська,1514
2016-12-01,Львівська,1697
2017-01-01,Львівська,1060
2017-02-01,Львівська,1318
2017-03-01,Львівська,1884
2017-04-01,Львівська,1792
2017-05-01,Львівська,1807
2017-06-01,Львівська,1717
2017-07-01,Львівська,1952
2017-08-01,Львівська,1793
2017-09-01,Львівська,1931
2017-10-01,Львівська,1910
2017-11-01,Львівська,2016
2017-12-01,Львівська,2045
2018-01-01,Львівська,1670
2018-02-01,Львівська,1766
2018-03-01,Львівська,2277
2018-04-01,Львівська,1814
2018-05-01,Львівська,2152
2018-06-01,Львівська,2500
2018-07-01,Львівська,2541
2018-08-01,Львівська,2510
2018-09-01,Львівська,2133
2018-10-01,Львівська,2401
2018-11-01,Львівська,2108
2018-12-01,Львівська,3949
2019-01-01,Львівська,8470
2019-02-01,Львівська,12205
2019-03-01,Львівська,5863
2019-04-01,Львівська,3444
2019-05-01,Львівська,3526
2013-01-01,Одеська,1861
2013-02-01,Одеська,2219
2013-03-01,Одеська,2506
2013-04-01,Одеська,3012
2013-05-01,Одеська,2088
2013-06-01,Одеська,2862
2013-07-01,Одеська,3229
2013-08-01,Одеська,3882
2013-09-01,Одеська,2250
2013-10-01,Одеська,2655
2013-11-01,Одеська,2288
2013-12-01,Одеська,2081
2014-01-01,Одеська,1523
2014-02-01,Одеська,1530
2014-03-01,Одеська,1343
2014-04-01,Одеська,590
2014-05-01,Одеська,344
2014-06-01,Одеська,796
2014-07-01,Одеська,1097
2014-08-01,Одеська,1015
2014-09-01,Одеська,847
2014-10-01,Одеська,792
2014-11-01,Одеська,739
2014-12-01,Одеська,773
2015-01-01,Одеська,312
2015-02-01,Одеська,366
2015-03-01,Одеська,342
2015-04-01,Одеська,513
2015-05-01,Одеська,505
2015-06-01,Одеська,513
2015-07-01,Одеська,654
2015-08-01,Одеська,539
2015-09-01,Одеська,658
2015-10-01,Одеська,788
2015-11-01,Одеська,646
2015-12-01,Одеська,631
2016-01-01,Одеська,308
2016-02-01,Одеська,605
2016-03-01,Одеська,639
2016-04-01,Одеська,776
2016-05-01,Одеська,423
2016-06-01,Одеська,728
2016-07-01,Одеська,804
2016-08-01,Одеська,729
2016-09-01,Одеська,814
2016-10-01,Одеська,715
2016-11-01,Одеська,998
2016-12-01,Одеська,1064
2017-01-01,Одеська,591
2017-02-01,Одеська,713
2017-03-01,Одеська,1076
2017-04-01,Одеська,1055
2017-05-01,Одеська,1050
2017-06-01,Одеська,1123
2017-07-01,Одеська,1114
2017-08-01,Одеська,1184
2017-09-01,Одеська,1264
2017-10-01,Одеська,1228
2017-11-01,Одеська,1198
2017-12-01,Одеська,1206
2018-01-01,Одеська,950
2018-02-01,Одеська,1063
2018-03-01,Одеська,1182
2018-04-01,Одеська,1359
2018-05-01,Одеська,1514
2018-06-01,Одеська,1464
2018-07-01,Одеська,1639
2018-08-01,Одеська,1647
2018-09-01,Одеська,987
2018-10-01,Одеська,1093
2018-11-01,Одеська,1080
2018-12-01,Одеська,1252
2019-01-01,Одеська,2931
2019-02-01,Одеська,5874
2019-03-01,Одеська,3386
2019-04-01,Одеська,1450
2019-05-01,Одеська,1638
2013-01-01,Дніпропетровська,1305
2013-02-01,Дніпропетровська,1658
2013-03-01,Дніпропетровська,2534
2013-04-01,Дніпропетровська,3419
2013-05-01,Дніпропетровська,2271
2013-06-01,Дніпропетровська,2314
2013-07-01,Дніпропетровська,2872
2013-08-01,Дніпропетровська,4519
2013-09-01,Дніпропетровська,1856
2013-10-01,Дніпропетровська,1853
2013-11-01,Дніпропетровська,1754
2013-12-01,Дніпропетровська,1813
2014-01-01,Дніпропетровська,1168
2014-02-01,Дніпропетровська,1557
2014-03-01,Дніпропетровська,1475
2014-04-01,Дніпропетровська,797
2014-05-01,Дніпропетровська,352
2014-06-01,Дніпропетровська,900
2014-07-01,Дніпропетровська,1534
2014-08-01,Дніпропетровська,1053
2014-09-01,Дніпропетровська,1109
2014-10-01,Дніпропетровська,1364
2014-11-01,Дніпропетровська,1322
2014-12-01,Дніпропетровська,1034
2015-01-01,Дніпропетровська,351
2015-02-01,Дніпропетровська,355
2015-03-01,Дніпропетровська,250
2015-04-01,Дніпропетровська,591
2015-05-01,Дніпропетровська,556
2015-06-01,Дніпропетровська,556
2015-07-01,Дніпропетровська,694
2015-08-01,Дніпропетровська,419
2015-09-01,Дніпропетровська,662
2015-10-01,Дніпропетровська,753
2015-11-01,Дніпропетровська,658
2015-12-01,Дніпропетровська,584
2016-01-01,Дніпропетровська,507
2016-02-01,Дніпропетровська,705
2016-03-01,Дніпропетровська,823
2016-04-01,Дніпропетровська,878
2016-05-01,Дніпропетровська,555
2016-06-01,Дніпропетровська,745
2016-07-01,Дніпропетровська,921
2016-08-01,Дніпропетровська,839
2016-09-01,Дніпропетровська,863
2016-10-01,Дніпропетровська,914
2016-11-01,Дніпропетровська,1162
2016-12-01,Дніпропетровська,998
2017-01-01,Дніпропетровська,672
2017-02-01,Дніпропетровська,808
2017-03-01,Дніпропетровська,1314
2017-04-01,Дніпропетровська,1307
2017-05-01,Дніпропетровська,1114
2017-06-01,Дніпропетровська,1210
2017-07-01,Дніпропетровська,1213
2017-08-01,Дніпропетровська,1194
2017-09-01,Дніпропетровська,1386
2017-10-01,Дніпропетровська,1361
2017-11-01,Дніпропетровська,1381
2017-12-01,Дніпропетровська,1350
2018-01-01,Дніпропетровська,952
2018-02-01,Дніпропетровська,1104
2018-03-01,Дніпропетровська,1166
2018-04-01,Дніпропетровська,1439
2018-05-01,Дніпропетровська,1611
2018-06-01,Дніпропетровська,1481
2018-07-01,Дніпропетровська,1623
2018-08-01,Дніпропетровська,1511
2018-09-01,Дніпропетровська,829
2018-10-01,Дніпропетровська,893
2018-11-01,Дніпропетровська,957
2018-12-01,Дніпропетровська,1258
2019-01-01,Дніпропетровська,2078
2019-02-01,Дніпропетровська,3199
2019-03-01,Дніпропетровська,2649
2019-04-01,Дніпропетровська,1620
2019-05-01,Дніпропетровська,1766
2013-01-01,Волинська,794
2013-02-01,Волинська,973
2013-03-01,Волинська,1253
2013-04-01,Волинська,1444
2013-05-01,Волинська,1323
2013-06-01,Волинська,1385
2013-07-01,Волинська,1555
2013-08-01,Волинська,3336
2013-09-01,Волинська,1304
2013-10-01,Волинська,422
2013-11-01,Волинська,441
2013-12-01,Волинська,1187
2014-01-01,Волинська,325
2014-02-01,Волинська,494
2014-03-01,Волинська,395
2014-04-01,Волинська,294
2014-05-01,Волинська,379
2014-06-01,Волинська,819
2014-07-01,Волинська,1317
2014-08-01,Волинська,1320
2014-09-01,Волинська,1093
2014-10-01,Волинська,1356
2014-11-01,Волинська,1192
2014-12-01,Волинська,2454
2015-01-01,Волинська,385
2015-02-01,Волинська,566
2015-03-01,Волинська,404
2015-04-01,Волинська,375
2015-05-01,Волинська,504
2015-06-01,Волинська,498
2015-07-01,Волинська,702
2015-08-01,Волинська,537
2015-09-01,Волинська,502
2015-10-01,Волинська,623
2015-11-01,Волинська,460
2015-12-01,Волинська,1474
2016-01-01,Волинська,391
2016-02-01,Волинська,460
2016-03-01,Волинська,473
2016-04-01,Волинська,411
2016-05-01,Волинська,283
2016-06-01,Волинська,324
2016-07-01,Волинська,393
2016-08-01,Волинська,539
2016-09-01,Волинська,584
2016-10-01,Волинська,639
2016-11-01,Волинська,817
2016-12-01,Волинська,718
2017-01-01,Волинська,416
2017-02-01,Волинська,633
2017-03-01,Волинська,756
2017-04-01,Волинська,796
2017-05-01,Волинська,920
2017-06-01,Волинська,934
2017-07-01,Волинська,988
2017-08-01,Волинська,1101
2017-09-01,Волинська,1137
2017-10-01,Волинська,1140
2017-11-01,Волинська,1142
2017-12-01,Волинська,992
2018-01-01,Волинська,943
2018-02-01,Волинська,975
2018-03-01,Волинська,1247
2018-04-01,Волинська,1120
2018-05-01,Волинська,1389
2018-06-01,Волинська,1376
2018-07-01,Волинська,1631
2018-08-01,Волинська,1720
2018-09-01,Волинська,1440
2018-10-01,Волинська,1587
2018-11-01,Волинська,1497
2018-12-01,Волинська,3216
2019-01-01,Волинська,5997
2019-02-01,Волинська,8082
2019-03-01,Волинська,3122
2019-04-01,Волинська,1608
2019-05-01,Волинська,1672
2013-01-01,Київська,638
2013-02-01,Київська,760
2013-03-01,Київська,1143
2013-04-01,Київська,1881
2013-05-01,Київська,1367
2013-06-01,Київська,1463
2013-07-01,Київська,1730
2013-08-01,Київська,2355
2013-09-01,Київська,995
2013-10-01,Київська,955
2013-11-01,Київська,885
2013-12-01,Київська,978
2014-01-01,Київська,563
2014-02-01,Київська,796
2014-03-01,Київська,767
2014-04-01,Київська,363
2014-05-01,Київська,541
2014-06-01,Київська,1064
2014-07-01,Київська,1419
2014-08-01,Київська,1161
2014-09-01,Київська,915
2014-10-01,Київська,971
2014-11-01,Київська,878
2014-12-01,Київська,1074
2015-01-01,Київська,485
2015-02-01,Київська,550
2015-03-01,Київська,526
2015-04-01,Київська,590
2015-05-01,Київська,604
2015-06-01,Київська,541
2015-07-01,Київська,625
2015-08-01,Київська,454
2015-09-01,Київська,563
2015-10-01,Київська,616
2015-11-01,Київська,571
2015-12-01,Київська,594
2016-01-01,Київська,398
2016-02-01,Київська,510
2016-03-01,Київська,744
2016-04-01,Київська,677
2016-05-01,Київська,516
2016-06-01,Київська,693
2016-07-01,Київська,734
2016-08-01,Київська,686
2016-09-01,Київська,855
2016-10-01,Київська,759
2016-11-01,Київська,1029
2016-12-01,Київська,953
2017-01-01,Київська,673
2017-02-01,Київська,766
2017-03-01,Київська,1136
2017-04-01,Київська,1037
2017-05-01,Київська,1008
2017-06-01,Київська,1115
2017-07-01,Київська,1182
2017-08-01,Київська,1056
2017-09-01,Київська,1132
2017-10-01,Київська,1107
2017-11-01,Київська,1097
2017-12-01,Київська,1037
2018-01-01,Київська,898
2018-02-01,Київська,1094
2018-03-01,Київська,1088
2018-04-01,Київська,1161
2018-05-01,Київська,1316
2018-06-01,Київська,1408
2018-07-01,Київська,1518
2018-08-01,Київська,1484
2018-09-01,Київська,913
2018-10-01,Київська,926
2018-11-01,Київська,901
2018-12-01,Київська,1440
2019-01-01,Київська,3463
2019-02-01,Київська,5886
2019-03-01,Київська,3472
2019-04-01,Київська,1921
2019-05-01,Київська,2076
2013-01-01,Рівненська,698
2013-02-01,Рівненська,965
2013-03-01,Рівненська,1061
2013-04-01,Рівненська,1339
2013-05-01,Рівненська,1093
2013-06-01,Рівненська,1337
2013-07-01,Рівненська,1267
2013-08-01,Рівненська,2174
2013-09-01,Рівненська,382
2013-10-01,Рівненська,374
2013-11-01,Рівненська,339
2013-12-01,Рівненська,539
2014-01-01,Рівненська,247
2014-02-01,Рівненська,286
2014-03-01,Рівненська,376
2014-04-01,Рівненська,212
2014-05-01,Рівненська,809
2014-06-01,Рівненська,1716
2014-07-01,Рівненська,2025
2014-08-01,Рівненська,1886
2014-09-01,Рівненська,1606
2014-10-01,Рівненська,1998
2014-11-01,Рівненська,2100
2014-12-01,Рівненська,2462
2015-01-01,Рівненська,393
2015-02-01,Рівненська,441
2015-03-01,Рівненська,364
2015-04-01,Рівненська,405
2015-05-01,Рівненська,587
2015-06-01,Рівненська,551
2015-07-01,Рівненська,623
2015-08-01,Рівненська,567
2015-09-01,Рівненська,823
2015-10-01,Рівненська,907
2015-11-01,Рівненська,700
2015-12-01,Рівненська,601
2016-01-01,Рівненська,379
2016-02-01,Рівненська,521
2016-03-01,Рівненська,503
2016-04-01,Рівненська,479
2016-05-01,Рівненська,432
2016-06-01,Рівненська,463
2016-07-01,Рівненська,513
2016-08-01,Рівненська,428
2016-09-01,Рівненська,522
2016-10-01,Рівненська,564
2016-11-01,Рівненська,671
2016-12-01,Рівненська,687
2017-01-01,Рівненська,413
2017-02-01,Рівненська,554
2017-03-01,Рівненська,812
2017-04-01,Рівненська,853
2017-05-01,Рівненська,928
2017-06-01,Рівненська,910
2017-07-01,Рівненська,992
2017-08-01,Рівненська,950
2017-09-01,Рівненська,954
2017-10-01,Рівненська,892
2017-11-01,Рівненська,960
2017-12-01,Рівненська,815
2018-01-01,Рівненська,747
2018-02-01,Рівненська,777
2018-03-01,Рівненська,1067
2018-04-01,Рівненська,1010
2018-05-01,Рівненська,1255
2018-06-01,Рівненська,1435
2018-07-01,Рівненська,1460
2018-08-01,Рівненська,1516
2018-09-01,Рівненська,1115
2018-10-01,Рівненська,1221
2018-11-01,Рівненська,1209
2018-12-01,Рівненська,1779
2019-01-01,Рівненська,3485
2019-02-01,Рівненська,5480
2019-03-01,Рівненська,2091
2019-04-01,Рівненська,1652
2019-05-01,Рівненська,1920
2013-01-01,Івано-Франківська,1064
2013-02-01,Івано-Франківська,1137
2013-03-01,Івано-Франківська,1328
2013-04-01,Івано-Франківська,1763
2013-05-01,Івано-Франківська,992
2013-06-01,Івано-Франківська,1628
2013-07-01,Івано-Франківська,1651
2013-08-01,Івано-Франківська,2745
2013-09-01,Івано-Франківська,473
2013-10-01,Івано-Франківська,408
2013-11-01,Івано-Франківська,481
2013-12-01,Івано-Франківська,690
2014-01-01,Івано-Франківська,281
2014-02-01,Івано-Франківська,368
2014-03-01,Івано-Франківська,358
2014-04-01,Івано-Франківська,386
2014-05-01,Івано-Франківська,121
2014-06-01,Івано-Франківська,1071
2014-07-01,Івано-Франківська,1541
2014-08-01,Івано-Франківська,1251
2014-09-01,Івано-Франківська,1067
2014-10-01,Івано-Франківська,1175
2014-11-01,Івано-Франківська,1074
2014-12-01,Івано-Франківська,1352
2015-01-01,Івано-Франківська,293
2015-02-01,Івано-Франківська,422
2015-03-01,Івано-Франківська,362
2015-04-01,Івано-Франківська,414
2015-05-01,Івано-Франківська,449
2015-06-01,Івано-Франківська,532
2015-07-01,Івано-Франківська,596
2015-08-01,Івано-Франківська,328
2015-09-01,Івано-Франківська,528
2015-10-01,Івано-Франківська,745
2015-11-01,Івано-Франківська,475
2015-12-01,Івано-Франківська,566
2016-01-01,Івано-Франківська,284
2016-02-01,Івано-Франківська,561
2016-03-01,Івано-Франківська,553
2016-04-01,Івано-Франківська,497
2016-05-01,Івано-Франківська,235
2016-06-01,Івано-Франківська,278
2016-07-01,Івано-Франківська,315
2016-08-01,Івано-Франківська,337
2016-09-01,Івано-Франківська,526
2016-10-01,Івано-Франківська,671
2016-11-01,Івано-Франківська,725
2016-12-01,Івано-Франківська,807
2017-01-01,Івано-Франківська,603
2017-02-01,Івано-Франківська,661
2017-03-01,Івано-Франківська,858
2017-04-01,Івано-Франківська,866
2017-05-01,Івано-Франківська,800
2017-06-01,Івано-Франківська,946
2017-07-01,Івано-Франківська,898
2017-08-01,Івано-Франківська,982
2017-09-01,Івано-Франківська,916
2017-10-01,Івано-Франківська,884
2017-11-01,Івано-Франківська,1041
2017-12-01,Івано-Франківська,990
2018-01-01,Івано-Франківська,821
2018-02-01,Івано-Франківська,912
2018-03-01,Івано-Франківська,1042
2018-04-01,Івано-Франківська,861
2018-05-01,Івано-Франківська,1126
2018-06-01,Івано-Франківська,1272
2018-07-01,Івано-Франківська,1396
2018-08-01,Івано-Франківська,1457
2018-09-01,Івано-Франківська,1244
2018-10-01,Івано-Франківська,1371
2018-11-01,Івано-Франківська,1190
2018-12-01,Івано-Франківська,1380
2019-01-01,Івано-Франківська,3252
2019-02-01,Івано-Франківська,5483
2019-03-01,Івано-Франківська,3409
2019-04-01,Івано-Франківська,1878
2019-05-01,Івано-Франківська,2069
2013-01-01,Вінницька,837
2013-02-01,Вінницька,1009
2013-03-01,Вінницька,1363
2013-04-01,Вінницька,1812
2013-05-01,Вінницька,1428
2013-06-01,Вінницька,1501
2013-07-01,Вінницька,1842
2013-08-01,Вінницька,3035
2013-09-01,Вінницька,696
2013-10-01,Вінницька,658
2013-11-01,Вінницька,599
2013-12-01,Вінницька,885
2014-01-01,Вінницька,412
2014-02-01,Вінницька,454
2014-03-01,Вінницька,539
2014-04-01,Вінницька,450
2014-05-01,Вінницька,288
2014-06-01,Вінницька,550
2014-07-01,Вінницька,928
2014-08-01,Вінницька,973
2014-09-01,Вінницька,675
2014-10-01,Вінницька,703
2014-11-01,Вінницька,807
2014-12-01,Вінницька,1027
2015-01-01,Вінницька,294
2015-02-01,Вінницька,307
2015-03-01,Вінницька,304
2015-04-01,Вінницька,332
2015-05-01,Вінницька,341
2015-06-01,Вінницька,295
2015-07-01,Вінницька,400
2015-08-01,Вінницька,374
2015-09-01,Вінницька,465
2015-10-01,Вінницька,473
2015-11-01,Вінницька,338
2015-12-01,Вінницька,688
2016-01-01,Вінницька,258
2016-02-01,Вінницька,282
2016-03-01,Вінницька,484
2016-04-01,Вінницька,408
2016-05-01,Вінницька,270
2016-06-01,Вінницька,331
2016-07-01,Вінницька,383
2016-08-01,Вінницька,453
2016-09-01,Вінницька,537
2016-10-01,Вінницька,531
2016-11-01,Вінницька,628
2016-12-01,Вінницька,599
2017-01-01,Вінницька,419
2017-02-01,Вінницька,470
2017-03-01,Вінницька,748
2017-04-01,Вінницька,784
2017-05-01,Вінницька,734
2017-06-01,Вінницька,736
2017-07-01,Вінницька,724
2017-08-01,Вінницька,762
2017-09-01,Вінницька,765
2017-10-01,Вінницька,735
2017-11-01,Вінницька,702
2017-12-01,Вінницька,761
2018-01-01,Вінницька,671
2018-02-01,Вінницька,680
2018-03-01,Вінницька,743
2018-04-01,Вінницька,790
2018-05-01,Вінницька,965
2018-06-01,Вінницька,1003
2018-07-01,Вінницька,1072
2018-08-01,Вінницька,1071
2018-09-01,Вінницька,706
2018-10-01,Вінницька,758
2018-11-01,Вінницька,760
2018-12-01,Вінницька,1053
2019-01-01,Вінницька,2702
2019-02-01,Вінницька,5000
